Date,Close,High,Low,Open,Volume,daily_return
,AAPL,AAPL,AAPL,AAPL,AAPL,
2026-02-26,272.4637756347656,275.61811956353745,270.31758130113775,274.4602128097023,32345100,-0.004667689785084916
2026-02-27,263.7093811035156,272.3240124520744,262.4217010495403,272.3240124520744,72366500,-0.03213048968015897
2026-03-02,264.2484130859375,266.05518620599753,259.73647625260065,261.94253069595567,41827900,0.002044037948768729
2026-03-03,263.2801818847656,265.08695529305965,259.6666350681776,263.0106738027697,38568900,-0.003664094667077511
2026-03-04,262.0523376464844,265.67587606267574,260.95432154975975,264.17854815272653,39803100,-0.004663640952734749
2026-03-05,259.8263244628906,261.09405110124777,256.79173142961054,260.3254337562426,49658600,-0.008494536639458317
2026-03-06,257.0013427734375,258.3090066542827,253.916851068475,258.16927189629365,41120000,-0.010872576884936036
2026-03-09,259.41705322265625,260.68477987096253,253.22808575123491,255.2345148744848,38218500,0.009399602442343502
2026-03-10,260.3653564453125,262.01244158439727,256.4922936817907,257.19102845716964,30590800,0.003655516130785408
2026-03-11,260.3453674316406,261.6630231774062,259.08760235948154,260.62486739620806,26218900,-7.677293916819039e-05
2026-03-12,255.30438232421875,258.48871731031414,253.72719511663234,258.1992253881205,40794000,-0.01936268410362818
2026-03-13,249.6744384765625,255.87336762960538,249.07551643845036,255.024890934378,36930000,-0.02205188879408504
2026-03-16,252.36964416503906,253.43773019062647,249.4348789230203,251.66090222791988,32074200,0.010794880344667579
2026-03-17,253.77711486816406,254.67552076289968,251.7307636559193,252.5093881906664,32361600,0.0055770205952525576
2026-03-18,249.49476623535156,254.48585937367065,248.55643828829037,252.1799767808244,35757900,-0.01687444762321122
2026-03-19,248.5165252685547,251.38140795985734,246.85947863088072,248.95572868612365,34864100,-0.003920887726655109
2026-03-20,247.54823303222656,248.75606899357115,245.56177255944445,247.53824109812177,88331100,-0.003896289131202657
2026-03-23,251.04200744628906,254.14646797882926,249.83415620831627,253.51758537106093,40546100,0.01411350980480508
2026-03-24,251.1917266845703,254.37604644028636,249.10545347620703,249.90403139868116,45152300,0.0005963911769359953
2026-03-25,252.16998291015625,254.5457480998694,251.15181088451408,253.6473574345128,28476700,0.003894460372950048
